0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
4,0,1,1
5,0,1,1
6,0,1,1
7,0,1,1
8,0,1,1
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,1
13,0,1,1
14,0,1,1
15,0,1,1
16,0,1,1
17,0,1,1
18,0,1,1
19,0,1,1
20,0,1,1
21,0,1,1
22,0,1,1
23,0,1,1
24,0,1,1
25,0,1,1
26,0,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,1
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
0,2,1,1
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,1
15,2,1,1
16,2,1,1
17,2,1,1
18,2,1,1
19,2,1,1
20,2,1,1
21,2,1,1
22,2,1,1
23,2,1,1
24,2,1,1
25,2,1,1
26,2,1,1
27,2,1,1
28,2,1,1
29,2,1,1
30,2,1,1
31,2,1,1
32,2,1,1
33,2,1,1
34,2,1,1
35,2,1,1
36,2,1,1
37,2,1,1
38,2,1,1
39,2,1,1
40,2,1,1
41,2,1,1
42,2,1,1
43,2,1,1
0,3,1,1
1,3,1,1
2,3,1,1
40,3,1,1
41,3,1,1
42,3,1,1
43,3,1,1
0,4,1,1
1,4,1,1
2,4,1,1
40,4,1,1
41,4,1,1
42,4,1,1
43,4,1,1
44,4,1,1
0,5,1,1
1,5,1,1
2,5,1,1
41,5,1,1
42,5,1,1
43,5,1,1
44,5,1,1
0,6,1,1
1,6,1,1
2,6,1,1
41,6,1,1
42,6,1,1
43,6,1,1
44,6,1,1
0,7,1,1
1,7,1,1
2,7,1,1
42,7,1,1
43,7,1,1
44,7,1,1
0,8,1,1
1,8,1,1
2,8,1,1
42,8,1,1
43,8,1,1
44,8,1,1
0,9,1,1
1,9,1,1
2,9,1,1
42,9,1,1
43,9,1,1
44,9,1,1
0,10,1,1
1,10,1,1
2,10,1,1
42,10,1,1
43,10,1,1
44,10,1,1
0,11,1,1
1,11,1,1
2,11,1,1
42,11,1,1
43,11,1,1
44,11,1,1
0,12,1,1
1,12,1,1
2,12,1,1
42,12,1,1
43,12,1,1
44,12,1,1
0,13,1,1
1,13,1,1
2,13,1,1
42,13,1,1
43,13,1,1
44,13,1,1
0,14,1,1
1,14,1,1
2,14,1,1
42,14,1,1
43,14,1,1
44,14,1,1
0,15,1,1
1,15,1,1
2,15,1,1
42,15,1,1
43,15,1,1
44,15,1,1
0,16,1,1
1,16,1,1
2,16,1,1
42,16,1,1
43,16,1,1
44,16,1,1
0,17,1,1
1,17,1,1
2,17,1,1
42,17,1,1
43,17,1,1
44,17,1,1
0,18,1,1
1,18,1,1
2,18,1,1
42,18,1,1
43,18,1,1
44,18,1,1
0,19,1,1
1,19,1,1
2,19,1,1
42,19,1,1
43,19,1,1
44,19,1,1
0,20,1,1
1,20,1,1
2,20,1,1
42,20,1,1
43,20,1,1
44,20,1,1
0,21,1,1
1,21,1,1
2,21,1,1
41,21,1,1
42,21,1,1
43,21,1,1
44,21,1,1
0,22,1,1
1,22,1,1
2,22,1,1
41,22,1,1
42,22,1,1
43,22,1,1
44,22,1,1
0,23,1,1
1,23,1,1
2,23,1,1
40,23,1,1
41,23,1,1
42,23,1,1
43,23,1,1
44,23,1,1
0,24,1,1
1,24,1,1
2,24,1,1
40,24,1,1
41,24,1,1
42,24,1,1
43,24,1,1
0,25,1,1
1,25,1,1
2,25,1,1
40,25,1,1
41,25,1,1
42,25,1,1
43,25,1,1
0,26,1,1
1,26,1,1
2,26,1,1
40,26,1,1
41,26,1,1
42,26,1,1
